order_id,user_id,date_id,status,num_of_item
80,62,1,cancelled,2
85,65,2,cancelled,2
87,66,3,cancelled,1
90,67,4,cancelled,1
113,81,5,cancelled,2
131,95,6,cancelled,1
134,98,7,cancelled,4
148,109,8,cancelled,1
151,112,9,cancelled,1
153,113,10,cancelled,1
154,113,11,cancelled,1
162,122,12,cancelled,1
174,129,13,cancelled,1
209,154,14,cancelled,1
226,166,15,cancelled,2
242,177,16,cancelled,2
244,179,17,cancelled,3
259,192,18,cancelled,2
267,200,13,cancelled,1
285,211,19,cancelled,4
294,216,20,cancelled,1
306,226,21,cancelled,1
321,241,22,cancelled,1
328,245,23,cancelled,1
331,245,24,cancelled,1
364,275,25,cancelled,1
384,293,26,cancelled,1
393,301,27,cancelled,1
407,315,28,cancelled,1
413,321,29,cancelled,2
417,324,30,cancelled,1
445,348,31,cancelled,1
457,358,32,cancelled,1
485,380,33,cancelled,1
488,382,34,cancelled,2
525,403,35,cancelled,1
532,409,36,cancelled,1
537,413,37,cancelled,1
539,414,38,cancelled,1
545,421,39,cancelled,2
570,443,40,cancelled,1
571,445,41,cancelled,1
577,448,42,cancelled,2
636,499,43,cancelled,1
646,506,44,cancelled,1
649,510,28,cancelled,1
662,517,45,cancelled,1
668,521,46,cancelled,1
670,524,47,cancelled,1
720,566,48,cancelled,1
752,594,49,cancelled,1
763,602,50,cancelled,3
764,604,51,cancelled,1
777,617,52,cancelled,2
784,624,28,cancelled,1
809,648,53,cancelled,1
816,654,54,cancelled,1
870,700,55,cancelled,1
911,729,56,cancelled,1
920,739,57,cancelled,1
945,765,58,cancelled,1
956,778,59,cancelled,2
964,785,60,cancelled,3
973,792,61,cancelled,1
982,798,62,cancelled,1
996,810,63,cancelled,1
1013,819,64,cancelled,1
1018,824,65,cancelled,1
1041,843,66,cancelled,1
1043,844,67,cancelled,1
1062,861,68,cancelled,1
1094,885,33,cancelled,3
1105,891,69,cancelled,2
1110,893,70,cancelled,1
1113,896,71,cancelled,1
1114,896,72,cancelled,1
1153,925,63,cancelled,1
1188,961,73,cancelled,1
1198,967,74,cancelled,3
1232,994,75,cancelled,1
1251,1011,76,cancelled,1
1264,1022,55,cancelled,1
1283,1033,77,cancelled,1
1285,1034,78,cancelled,2
1290,1036,79,cancelled,1
1296,1040,28,cancelled,1
1301,1042,80,cancelled,1
1314,1054,81,cancelled,1
1330,1070,82,cancelled,4
1362,1090,83,cancelled,1
1364,1090,84,cancelled,1
1366,1091,85,cancelled,1
1393,1108,86,cancelled,1
1395,1110,87,cancelled,1
1401,1114,88,cancelled,1
1402,1114,89,cancelled,2
1405,1117,90,cancelled,2
1424,1135,91,cancelled,1
1432,1140,92,cancelled,1
1434,1140,93,cancelled,1
1437,1142,55,cancelled,1
1438,1144,94,cancelled,1
1467,1167,95,cancelled,1
1479,1176,96,cancelled,1
1509,1195,89,cancelled,3
1515,1198,54,cancelled,4
1521,1206,28,cancelled,1
1525,1209,97,cancelled,2
1527,1209,98,cancelled,2
1529,1212,99,cancelled,1
1536,1218,100,cancelled,4
1565,1240,101,cancelled,3
1619,1284,3,cancelled,2
1621,1286,102,cancelled,2
1643,1303,103,cancelled,2
1645,1305,81,cancelled,1
1655,1318,65,cancelled,2
1676,1333,104,cancelled,1
1701,1352,105,cancelled,1
1708,1360,106,cancelled,1
