order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item,order_date,order_year,order_month,order_day
80,62,cancelled,f,2021-10-24 01:43:47+00:00,,,,2,2021-10-24,2021.0,10.0,24.0
85,65,cancelled,f,2024-02-01 04:52:40+00:00,,,,2,2024-02-01,2024.0,2.0,1.0
87,66,cancelled,f,2025-05-20 00:14:18+00:00,,,,1,2025-05-20,2025.0,5.0,20.0
90,67,cancelled,f,2025-07-08 19:41:44+00:00,,,,1,2025-07-08,2025.0,7.0,8.0
113,81,cancelled,f,2026-03-18 05:48:18+00:00,,,,2,2026-03-18,2026.0,3.0,18.0
131,95,cancelled,f,2023-02-17 12:32:40+00:00,,,,1,2023-02-17,2023.0,2.0,17.0
134,98,cancelled,f,2025-12-06 06:40:12+00:00,,,,4,2025-12-06,2025.0,12.0,6.0
148,109,cancelled,f,2026-02-12 11:23:45+00:00,,,,1,2026-02-12,2026.0,2.0,12.0
151,112,cancelled,f,2025-12-17 14:06:59+00:00,,,,1,2025-12-17,2025.0,12.0,17.0
153,113,cancelled,f,2022-07-26 10:49:38+00:00,,,,1,2022-07-26,2022.0,7.0,26.0
154,113,cancelled,f,2024-07-19 07:59:41+00:00,,,,1,2024-07-19,2024.0,7.0,19.0
162,122,cancelled,f,2021-09-19 05:22:56+00:00,,,,1,2021-09-19,2021.0,9.0,19.0
174,129,cancelled,f,2025-12-09 20:01:44+00:00,,,,1,2025-12-09,2025.0,12.0,9.0
209,154,cancelled,f,2026-01-26 21:04:08+00:00,,,,1,2026-01-26,2026.0,1.0,26.0
226,166,cancelled,f,2025-03-27 14:01:12+00:00,,,,2,2025-03-27,2025.0,3.0,27.0
242,177,cancelled,f,2026-02-26 09:43:29+00:00,,,,2,2026-02-26,2026.0,2.0,26.0
244,179,cancelled,f,2025-04-05 14:28:41+00:00,,,,3,2025-04-05,2025.0,4.0,5.0
259,192,cancelled,f,2025-08-17 08:26:05+00:00,,,,2,2025-08-17,2025.0,8.0,17.0
267,200,cancelled,f,2025-12-09 15:40:00+00:00,,,,1,2025-12-09,2025.0,12.0,9.0
285,211,cancelled,f,2021-08-09 14:22:32+00:00,,,,4,2021-08-09,2021.0,8.0,9.0
294,216,cancelled,f,2025-05-22 04:30:06+00:00,,,,1,2025-05-22,2025.0,5.0,22.0
306,226,cancelled,f,2025-08-14 01:48:35+00:00,,,,1,2025-08-14,2025.0,8.0,14.0
321,241,cancelled,f,2025-10-12 22:07:48+00:00,,,,1,2025-10-12,2025.0,10.0,12.0
328,245,cancelled,f,2025-06-01 03:54:27+00:00,,,,1,2025-06-01,2025.0,6.0,1.0
331,245,cancelled,f,2021-03-31 22:13:27+00:00,,,,1,2021-03-31,2021.0,3.0,31.0
364,275,cancelled,f,2025-02-25 11:53:20+00:00,,,,1,2025-02-25,2025.0,2.0,25.0
384,293,cancelled,f,2023-11-21 22:12:14+00:00,,,,1,2023-11-21,2023.0,11.0,21.0
393,301,cancelled,f,2024-11-02 14:25:16+00:00,,,,1,2024-11-02,2024.0,11.0,2.0
407,315,cancelled,f,,,,,1,,,,
413,321,cancelled,f,2023-12-12 05:46:38+00:00,,,,2,2023-12-12,2023.0,12.0,12.0
417,324,cancelled,f,2023-07-12 00:43:35+00:00,,,,1,2023-07-12,2023.0,7.0,12.0
445,348,cancelled,f,2024-05-15 16:16:49+00:00,,,,1,2024-05-15,2024.0,5.0,15.0
457,358,cancelled,f,2025-09-16 05:28:25+00:00,,,,1,2025-09-16,2025.0,9.0,16.0
485,380,cancelled,f,2025-07-11 19:19:52+00:00,,,,1,2025-07-11,2025.0,7.0,11.0
488,382,cancelled,f,2025-02-28 17:30:06+00:00,,,,2,2025-02-28,2025.0,2.0,28.0
525,403,cancelled,f,2025-06-06 03:14:26+00:00,,,,1,2025-06-06,2025.0,6.0,6.0
532,409,cancelled,f,2025-12-15 22:29:52+00:00,,,,1,2025-12-15,2025.0,12.0,15.0
537,413,cancelled,f,2024-09-22 18:49:01+00:00,,,,1,2024-09-22,2024.0,9.0,22.0
539,414,cancelled,f,2023-05-25 13:16:25+00:00,,,,1,2023-05-25,2023.0,5.0,25.0
545,421,cancelled,f,2024-12-27 11:36:25+00:00,,,,2,2024-12-27,2024.0,12.0,27.0
570,443,cancelled,f,2024-05-27 14:28:38+00:00,,,,1,2024-05-27,2024.0,5.0,27.0
571,445,cancelled,f,2024-07-29 04:42:36+00:00,,,,1,2024-07-29,2024.0,7.0,29.0
577,448,cancelled,f,2025-09-25 12:17:22+00:00,,,,2,2025-09-25,2025.0,9.0,25.0
636,499,cancelled,f,2025-01-27 23:52:57+00:00,,,,1,2025-01-27,2025.0,1.0,27.0
646,506,cancelled,f,2026-03-03 05:53:22+00:00,,,,1,2026-03-03,2026.0,3.0,3.0
649,510,cancelled,f,,,,,1,,,,
662,517,cancelled,f,2024-06-30 03:31:33+00:00,,,,1,2024-06-30,2024.0,6.0,30.0
668,521,cancelled,f,2026-02-16 18:33:23+00:00,,,,1,2026-02-16,2026.0,2.0,16.0
670,524,cancelled,f,2024-07-26 15:14:11+00:00,,,,1,2024-07-26,2024.0,7.0,26.0
720,566,cancelled,f,2023-09-22 02:17:38+00:00,,,,1,2023-09-22,2023.0,9.0,22.0
752,594,cancelled,f,2026-02-24 08:50:48+00:00,,,,1,2026-02-24,2026.0,2.0,24.0
763,602,cancelled,f,2025-11-21 05:25:08+00:00,,,,3,2025-11-21,2025.0,11.0,21.0
764,604,cancelled,f,2022-07-13 22:52:09+00:00,,,,1,2022-07-13,2022.0,7.0,13.0
777,617,cancelled,f,2025-05-19 11:19:52+00:00,,,,2,2025-05-19,2025.0,5.0,19.0
784,624,cancelled,f,,,,,1,,,,
809,648,cancelled,f,2023-04-23 09:24:51+00:00,,,,1,2023-04-23,2023.0,4.0,23.0
816,654,cancelled,f,2026-01-01 06:06:40+00:00,,,,1,2026-01-01,2026.0,1.0,1.0
870,700,cancelled,f,2025-03-29 15:46:57+00:00,,,,1,2025-03-29,2025.0,3.0,29.0
911,729,cancelled,f,2023-12-17 02:35:49+00:00,,,,1,2023-12-17,2023.0,12.0,17.0
920,739,cancelled,f,2023-10-16 00:44:36+00:00,,,,1,2023-10-16,2023.0,10.0,16.0
945,765,cancelled,f,2025-04-09 07:17:10+00:00,,,,1,2025-04-09,2025.0,4.0,9.0
956,778,cancelled,f,2023-12-10 21:33:55+00:00,,,,2,2023-12-10,2023.0,12.0,10.0
964,785,cancelled,f,2021-07-05 01:43:22+00:00,,,,3,2021-07-05,2021.0,7.0,5.0
973,792,cancelled,f,2025-03-23 00:40:54+00:00,,,,1,2025-03-23,2025.0,3.0,23.0
982,798,cancelled,f,2022-11-08 04:22:10+00:00,,,,1,2022-11-08,2022.0,11.0,8.0
996,810,cancelled,f,2025-07-16 23:41:54+00:00,,,,1,2025-07-16,2025.0,7.0,16.0
1013,819,cancelled,f,2026-02-21 08:05:44+00:00,,,,1,2026-02-21,2026.0,2.0,21.0
1018,824,cancelled,f,2025-11-09 21:33:28+00:00,,,,1,2025-11-09,2025.0,11.0,9.0
1041,843,cancelled,f,2025-01-14 08:02:37+00:00,,,,1,2025-01-14,2025.0,1.0,14.0
1043,844,cancelled,f,2026-01-31 13:21:06+00:00,,,,1,2026-01-31,2026.0,1.0,31.0
1062,861,cancelled,f,2026-01-08 20:41:16+00:00,,,,1,2026-01-08,2026.0,1.0,8.0
1094,885,cancelled,f,2025-07-11 09:21:17+00:00,,,,3,2025-07-11,2025.0,7.0,11.0
1105,891,cancelled,f,2021-12-11 17:47:49+00:00,,,,2,2021-12-11,2021.0,12.0,11.0
1110,893,cancelled,f,2025-11-16 21:49:15+00:00,,,,1,2025-11-16,2025.0,11.0,16.0
1113,896,cancelled,f,2025-09-19 01:37:14+00:00,,,,1,2025-09-19,2025.0,9.0,19.0
1114,896,cancelled,f,2024-11-10 12:53:32+00:00,,,,1,2024-11-10,2024.0,11.0,10.0
1153,925,cancelled,f,2025-07-16 12:56:12+00:00,,,,1,2025-07-16,2025.0,7.0,16.0
1188,961,cancelled,f,2025-02-15 19:02:31+00:00,,,,1,2025-02-15,2025.0,2.0,15.0
1198,967,cancelled,f,2021-12-05 21:33:15+00:00,,,,3,2021-12-05,2021.0,12.0,5.0
1232,994,cancelled,f,2022-03-27 22:52:12+00:00,,,,1,2022-03-27,2022.0,3.0,27.0
1251,1011,cancelled,f,2024-05-19 05:53:56+00:00,,,,1,2024-05-19,2024.0,5.0,19.0
1264,1022,cancelled,f,2025-03-29 22:09:13+00:00,,,,1,2025-03-29,2025.0,3.0,29.0
1283,1033,cancelled,f,2025-12-21 12:23:34+00:00,,,,1,2025-12-21,2025.0,12.0,21.0
1285,1034,cancelled,f,2020-09-27 00:40:21+00:00,,,,2,2020-09-27,2020.0,9.0,27.0
1290,1036,cancelled,f,2024-11-07 14:03:07+00:00,,,,1,2024-11-07,2024.0,11.0,7.0
1296,1040,cancelled,f,,,,,1,,,,
1301,1042,cancelled,f,2025-07-05 13:11:41+00:00,,,,1,2025-07-05,2025.0,7.0,5.0
1314,1054,cancelled,f,2024-03-13 04:56:48+00:00,,,,1,2024-03-13,2024.0,3.0,13.0
1330,1070,cancelled,f,2025-07-02 05:20:07+00:00,,,,4,2025-07-02,2025.0,7.0,2.0
1362,1090,cancelled,f,2026-02-04 23:25:17+00:00,,,,1,2026-02-04,2026.0,2.0,4.0
1364,1090,cancelled,f,2024-11-11 18:00:36+00:00,,,,1,2024-11-11,2024.0,11.0,11.0
1366,1091,cancelled,f,2024-01-01 06:39:27+00:00,,,,1,2024-01-01,2024.0,1.0,1.0
1393,1108,cancelled,f,2023-12-04 08:13:20+00:00,,,,1,2023-12-04,2023.0,12.0,4.0
1395,1110,cancelled,f,2023-09-02 21:07:23+00:00,,,,1,2023-09-02,2023.0,9.0,2.0
1401,1114,cancelled,f,2025-11-26 02:27:16+00:00,,,,1,2025-11-26,2025.0,11.0,26.0
1402,1114,cancelled,f,2025-07-17 09:57:17+00:00,,,,2,2025-07-17,2025.0,7.0,17.0
1405,1117,cancelled,f,2026-03-08 07:43:33+00:00,,,,2,2026-03-08,2026.0,3.0,8.0
1424,1135,cancelled,f,2025-10-10 04:07:41+00:00,,,,1,2025-10-10,2025.0,10.0,10.0
1432,1140,cancelled,f,2022-11-11 15:39:26+00:00,,,,1,2022-11-11,2022.0,11.0,11.0
1434,1140,cancelled,f,2025-03-14 02:21:08+00:00,,,,1,2025-03-14,2025.0,3.0,14.0
1437,1142,cancelled,f,2025-03-29 05:23:24+00:00,,,,1,2025-03-29,2025.0,3.0,29.0
1438,1144,cancelled,f,2021-12-27 14:09:06+00:00,,,,1,2021-12-27,2021.0,12.0,27.0
1467,1167,cancelled,f,2026-01-29 17:56:31+00:00,,,,1,2026-01-29,2026.0,1.0,29.0
1479,1176,cancelled,f,2025-01-21 06:05:52+00:00,,,,1,2025-01-21,2025.0,1.0,21.0
1509,1195,cancelled,f,2025-07-17 14:52:10+00:00,,,,3,2025-07-17,2025.0,7.0,17.0
1515,1198,cancelled,f,2026-01-01 23:40:49+00:00,,,,4,2026-01-01,2026.0,1.0,1.0
1521,1206,cancelled,f,,,,,1,,,,
1525,1209,cancelled,f,2022-09-05 01:43:38+00:00,,,,2,2022-09-05,2022.0,9.0,5.0
1527,1209,cancelled,f,2023-10-17 07:08:12+00:00,,,,2,2023-10-17,2023.0,10.0,17.0
1529,1212,cancelled,f,2023-05-26 07:41:23+00:00,,,,1,2023-05-26,2023.0,5.0,26.0
1536,1218,cancelled,f,2023-09-19 18:17:18+00:00,,,,4,2023-09-19,2023.0,9.0,19.0
1565,1240,cancelled,f,2020-12-26 05:38:40+00:00,,,,3,2020-12-26,2020.0,12.0,26.0
1619,1284,cancelled,f,2025-05-20 14:43:26+00:00,,,,2,2025-05-20,2025.0,5.0,20.0
1621,1286,cancelled,f,2021-01-19 18:44:30+00:00,,,,2,2021-01-19,2021.0,1.0,19.0
1643,1303,cancelled,f,2023-08-03 13:39:15+00:00,,,,2,2023-08-03,2023.0,8.0,3.0
1645,1305,cancelled,f,2024-03-13 22:47:48+00:00,,,,1,2024-03-13,2024.0,3.0,13.0
1655,1318,cancelled,f,2025-11-09 15:28:42+00:00,,,,2,2025-11-09,2025.0,11.0,9.0
1676,1333,cancelled,f,2024-03-26 12:07:03+00:00,,,,1,2024-03-26,2024.0,3.0,26.0
1701,1352,cancelled,f,2025-09-26 19:26:34+00:00,,,,1,2025-09-26,2025.0,9.0,26.0
1708,1360,cancelled,f,2025-08-24 13:33:14+00:00,,,,1,2025-08-24,2025.0,8.0,24.0
1717,1368,cancelled,f,2023-12-06 14:10:41+00:00,,,,1,2023-12-06,2023.0,12.0,6.0
1718,1369,cancelled,f,2019-11-17 11:31:41+00:00,,,,4,2019-11-17,2019.0,11.0,17.0
1737,1385,cancelled,f,2024-05-20 17:08:49+00:00,,,,1,2024-05-20,2024.0,5.0,20.0
1761,1396,cancelled,f,2024-12-24 21:12:53+00:00,,,,1,2024-12-24,2024.0,12.0,24.0
1790,1420,cancelled,f,2026-02-28 02:57:28+00:00,,,,1,2026-02-28,2026.0,2.0,28.0
1796,1425,cancelled,f,2023-07-20 06:45:28+00:00,,,,1,2023-07-20,2023.0,7.0,20.0
1797,1425,cancelled,f,2023-10-20 18:49:15+00:00,,,,2,2023-10-20,2023.0,10.0,20.0
1814,1443,cancelled,f,2025-07-14 01:26:41+00:00,,,,2,2025-07-14,2025.0,7.0,14.0
1821,1448,cancelled,f,2025-02-02 22:23:06+00:00,,,,2,2025-02-02,2025.0,2.0,2.0
1847,1470,cancelled,f,2026-01-27 16:10:06+00:00,,,,1,2026-01-27,2026.0,1.0,27.0
1852,1473,cancelled,f,2026-01-13 16:43:13+00:00,,,,1,2026-01-13,2026.0,1.0,13.0
1855,1476,cancelled,f,2025-06-22 18:10:40+00:00,,,,1,2025-06-22,2025.0,6.0,22.0
1865,1485,cancelled,f,2025-10-22 00:49:09+00:00,,,,1,2025-10-22,2025.0,10.0,22.0
1880,1498,cancelled,f,2023-11-14 03:55:14+00:00,,,,1,2023-11-14,2023.0,11.0,14.0
