order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
80,62,Cancelled,F,2021-10-24 01:43:47+00:00,,,,2
85,65,Cancelled,F,2024-02-01 04:52:40+00:00,,,,2
87,66,Cancelled,F,2025-05-20 00:14:18+00:00,,,,1
90,67,Cancelled,F,2025-07-08 19:41:44+00:00,,,,1
113,81,Cancelled,F,2026-03-18 05:48:18+00:00,,,,2
131,95,Cancelled,F,2023-02-17 12:32:40+00:00,,,,1
134,98,Cancelled,F,2025-12-06 06:40:12+00:00,,,,4
148,109,Cancelled,F,2026-02-12 11:23:45+00:00,,,,1
151,112,Cancelled,F,2025-12-17 14:06:59+00:00,,,,1
153,113,Cancelled,F,2022-07-26 10:49:38+00:00,,,,1
154,113,Cancelled,F,2024-07-19 07:59:41+00:00,,,,1
162,122,Cancelled,F,2021-09-19 05:22:56+00:00,,,,1
174,129,Cancelled,F,2025-12-09 20:01:44+00:00,,,,1
209,154,Cancelled,F,2026-01-26 21:04:08+00:00,,,,1
226,166,Cancelled,F,2025-03-27 14:01:12+00:00,,,,2
242,177,Cancelled,F,2026-02-26 09:43:29+00:00,,,,2
244,179,Cancelled,F,2025-04-05 14:28:41+00:00,,,,3
259,192,Cancelled,F,2025-08-17 08:26:05+00:00,,,,2
267,200,Cancelled,F,2025-12-09 15:40:00+00:00,,,,1
285,211,Cancelled,F,2021-08-09 14:22:32+00:00,,,,4
294,216,Cancelled,F,2025-05-22 04:30:06+00:00,,,,1
306,226,Cancelled,F,2025-08-14 01:48:35+00:00,,,,1
321,241,Cancelled,F,2025-10-12 22:07:48+00:00,,,,1
328,245,Cancelled,F,2025-06-01 03:54:27+00:00,,,,1
331,245,Cancelled,F,2021-03-31 22:13:27+00:00,,,,1
364,275,Cancelled,F,2025-02-25 11:53:20+00:00,,,,1
384,293,Cancelled,F,2023-11-21 22:12:14+00:00,,,,1
393,301,Cancelled,F,2024-11-02 14:25:16+00:00,,,,1
407,315,Cancelled,F,2026-03-18 02:08:40.176981+00:00,,,,1
413,321,Cancelled,F,2023-12-12 05:46:38+00:00,,,,2
417,324,Cancelled,F,2023-07-12 00:43:35+00:00,,,,1
445,348,Cancelled,F,2024-05-15 16:16:49+00:00,,,,1
457,358,Cancelled,F,2025-09-16 05:28:25+00:00,,,,1
485,380,Cancelled,F,2025-07-11 19:19:52+00:00,,,,1
488,382,Cancelled,F,2025-02-28 17:30:06+00:00,,,,2
525,403,Cancelled,F,2025-06-06 03:14:26+00:00,,,,1
532,409,Cancelled,F,2025-12-15 22:29:52+00:00,,,,1
537,413,Cancelled,F,2024-09-22 18:49:01+00:00,,,,1
539,414,Cancelled,F,2023-05-25 13:16:25+00:00,,,,1
545,421,Cancelled,F,2024-12-27 11:36:25+00:00,,,,2
570,443,Cancelled,F,2024-05-27 14:28:38+00:00,,,,1
571,445,Cancelled,F,2024-07-29 04:42:36+00:00,,,,1
577,448,Cancelled,F,2025-09-25 12:17:22+00:00,,,,2
636,499,Cancelled,F,2025-01-27 23:52:57+00:00,,,,1
646,506,Cancelled,F,2026-03-03 05:53:22+00:00,,,,1
649,510,Cancelled,F,2026-03-16 09:04:37.996584+00:00,,,,1
662,517,Cancelled,F,2024-06-30 03:31:33+00:00,,,,1
668,521,Cancelled,F,2026-02-16 18:33:23+00:00,,,,1
